time,magnitude,e_magnitude,band,telescope
59209.42,17.380478128245763,0.055818715614437624,o,ATLAS
59217.52,17.398248259836905,0.05015673981191223,o,ATLAS
59219.49,17.349659862565606,0.04724220623501199,o,ATLAS
59221.41,17.170639078521564,0.026690391459074734,c,ATLAS
59223.48,17.20218008416646,0.07049846128080056,c,ATLAS
59227.6,17.14824070713745,0.031125498007968128,c,ATLAS
59229.47,17.143923658886184,0.03149801587301587,c,ATLAS
59231.36,17.12682509756042,0.0287109375,c,ATLAS
59235.43,17.349659862565606,0.07122302158273382,o,ATLAS
59245.43,17.397567760783126,0.05087719298245613,o,ATLAS
59251.41,17.264558645305097,0.03536585365853659,c,ATLAS
59253.36,17.267572069956024,0.03196220122290161,c,ATLAS
59255.39,17.302529601640792,0.03375430539609644,c,ATLAS
59257.39,17.25199280633867,0.03287671232876713,c,ATLAS
59261.34,17.244877087555384,0.029940119760479042,c,ATLAS
59265.33,17.593889416234198,0.960960960960961,o,ATLAS
59277.34,17.322024954467153,0.028521332554061953,c,ATLAS
59287.3,17.348800986662177,0.041513909855510026,c,ATLAS
59291.36,17.385391152354774,0.03952912019826518,c,ATLAS
59293.31,17.518329459719517,0.0411764705882353,o,ATLAS
59299.35,17.793800577338878,1.3537906137184117,o,ATLAS
59305.35,17.53673220883544,0.055199430199430195,o,ATLAS
59313.29,17.588198535789882,0.0392083644510829,c,ATLAS
59319.27,17.709914602303876,0.05747702589807853,o,ATLAS
59321.25,17.7782342002373,0.057829181494661916,o,ATLAS
59327.24,17.814895793114317,0.1080354842271874,o,ATLAS
59329.28,17.755295258165017,0.11106271777003485,o,ATLAS
59331.29,17.892198697060454,0.26679841897233203,o,ATLAS
59337.27,17.905149978319905,0.0616,o,ATLAS
59345.26,17.91168401732662,0.08541247484909456,o,ATLAS
59347.26,17.93710190354989,0.0811534500514933,c,ATLAS
59455.62,18.986642911098443,0.3438752301527131,o,ATLAS
59467.58,19.076452685714266,0.22647058823529412,c,ATLAS
59469.62,19.16047712457717,0.3301766874284988,o,ATLAS
59479.59,19.112160233444968,0.3951367781155015,o,ATLAS
59485.57,19.29503798852471,0.4676258992805755,o,ATLAS
59491.62,19.36771660839286,0.29923076923076924,o,ATLAS
59493.58,19.596091704106296,0.438579836719195,o,ATLAS
59501.57,19.641771554703347,0.3900990099009901,o,ATLAS
59505.59,19.69125670580047,0.5637305699481866,o,ATLAS
59507.59,19.48527005892496,0.47016972398422774,o,ATLAS
59509.51,19.631074559755156,0.8700980392156863,o,ATLAS
59511.53,19.226920700672558,3.0743243243243246,o,ATLAS
59515.61,19.395976279931702,0.820306331912206,o,ATLAS
59517.58,20.06334856042889,0.5109489051094891,o,ATLAS
59519.57,19.999336505343212,0.4108175061932287,o,ATLAS
59521.5,19.75903570235328,0.4880873593646592,o,ATLAS
59523.57,19.47895977945917,0.2624850860746548,c,ATLAS
59525.5,19.574053828530893,0.3604651162790698,o,ATLAS
59527.52,19.704387120182393,0.29263687853996223,c,ATLAS
59529.53,20.207196863200842,0.51,o,ATLAS
